,Date,User,Tweet
87,2022-07-16 08:00:34+00:00,ZARA,ZARA MAN presents: DRY. Modern tailoring. Starring Somali Findlay https://t.co/r8TcKGZVRA https://t.co/wCMQ4tejvd
88,2022-07-15 17:00:23+00:00,ZARA,"The Into The Night campaign depicts the collection’s identity in which a carefree woman and fashion revel in the Parisian night. https://t.co/usp6dyYOwu
Styled by Emmanuelle Alt
Photographed by David Sims https://t.co/gg4bZu9MsU"
89,2022-07-15 13:00:35+00:00,ZARA,INTO THE NIGHT. The collection’s campaign stars the iconic Kate Moss photographed by David Sims https://t.co/usp6dyYOwu https://t.co/iEjpVtR7lC
90,2022-07-15 08:36:18+00:00,ZARA,"Zara presents Into The Night, the first drop of a capsule collection inspired by the Parisian night and comprised of timeless clothes to create a sophisticated basic wardrobe for special occasions https://t.co/usp6dyYOwu
Styled by Emmanuelle Alt
Photographed by David Sims https://t.co/xwSngfUXrb"
91,2022-07-11 16:00:58+00:00,ZARA,Triple hoop earrings https://t.co/onEBE8KpQv https://t.co/IJWsx2Fohn
92,2022-06-07 17:00:19+00:00,ZARA,"Through the Sustainability Innovation Hub we are collaborating with different partners to bring more innovation into our products and to support them to scale up their initiatives. 
#INNOVATION #JOINLIFE
https://t.co/1vVo7LkZ7c https://t.co/bRg4M0Y8yv"
93,2022-06-07 13:00:42+00:00,ZARA,"LanzaTech technology produces ethanol from carbon emissions through a process of fermentation. This gas fermentation technology enables the conversion of carbon from industry, agriculture, and household waste.
#INNOVATION #JOINLIFE
https://t.co/1vVo7LkZ7c https://t.co/yZnGk4hjFm"
94,2022-06-07 10:03:08+00:00,ZARA,"STARTUP LANZATECH X ZARA. LanzaTech, Inc. is a startup that converts carbon emissions into new materials such as polyester.
#INNOVATION #JOINLIFE
https://t.co/1vVo7LkZ7c https://t.co/bL4H6PvAKg"
95,2022-05-26 18:00:28+00:00,ZARA,"MEET ME AT THE STANDARD
Fai Khadra featured in a capsule created between Zara Man and The Standard hotel. Playful and bright summer pieces to be worn under the sun https://t.co/zj5c8jLZ08 https://t.co/VqiBLXaRGc"
96,2022-05-26 14:00:16+00:00,ZARA,"MEET ME AT THE STANDARD
Fai Khadra featured in a capsule created between Zara Man and The Standard hotel. Playful and bright summer pieces to be worn under the sun https://t.co/zj5c8k3zRG https://t.co/aOHQy37CIn"
